name,unit_code,operator,gender,facility_type,region,city,county,facility_url,jurisdiction,agency,unit_full_name,family_liaison,date_established,total_employees,security_employees,non_security_employees,windham_employees,medical_employees,capacity,custody_levels,acreage,agricultural_ops,manufacturing_ops,facility_ops,additional_ops,medical_capabilities,educational_programs,additional_programs,community_work,volunteer_initiatives,street_address,parsed_city,state,zip_code,phone,location_description,senior_warden,latitude,longitude
Ellis,E1,CID,Male,Prison,I,Huntsville,Walker,https://www.tdcj.texas.gov/unit_directory/e.html,Texas,TDCJ,O.B. Ellis Unit,Trenda Doze,July 1965,400,99,99,17,Medical = 18; Mental Health = 2,"2,482","G1-G5, Security Detention","11,427","Ellis and Estelle work in cooperation: Cotton Gin, Cow/Calf Operation, Egg Laying Operation, Farm Shop, Edible and Field Crops, Security Horses, Security Pack Canines, and Swine Farrowing/Nursery/Finishing Operations.",Bus Repair Facility;  Garment Factory; Chair Factory,Region I (Huntsville Region) Maintenance Headquarters; Region I Asbestos; Unit Maintenance,In-Service Training Facility,"Ambulatory medical, dental, and mental health services. CPAP accommodating housing available. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Computer Maintenance Technician; Lee College Academic; Lee College Vocational: Cabinetmaking;  Horticulture; Heating, Ventilation, Air Conditioning and Refrigeration","Faith-Based Dormitory, Gang Renouncement and Disassociation (GRAD) Process, Adult Education Program (upon availability),  Peer Education,  Reentry Planning, Chaplaincy Services, GO KIDS Initiative",Services provided to county agencies.,"Substance Abuse Education, Literacy/Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",O.B. Ellis Unit,Huntsville,TX,77343,(936) 295-5756,Twelve miles north of Huntsville at 1697 FM 980 in Walker County,,30.88494009999999,-95.45522790000001
Estelle,E2,CID,Male,Prison,I,Huntsville,Walker,https://www.tdcj.texas.gov/unit_directory/e2.html,Texas,TDCJ,"W. J. ""Jim"" Estelle Unit",Geannie Jones,June 1984,755,110,110,14,Medical = 177; Mental Health = 8,"3,460","G1-G5, Security Detention, Safekeeping, Substance Abuse, Geriatric, Transient Medical Facility: All levels requiring medical treatment","5,459","Estelle and Ellis  work in cooperation: Cotton Gin, Cow/Calf Operation, Egg Laying Operation, Farm Shop, Edible and Field Crops, Security Horses, Security Pack Canines,  and Swine Farrowing/Nursery/Finishing Operations.",Textile Mill,Unit Maintenance,Regional Medical Facility/Geriatric Facility; Emergency Medical Services (EMS); Video  Conferencing Center; Special Needs Kitchen,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours a day, seven days a week. Regional Digital Medical Services (DMS)  hub for electronic specialty clinics. Infirmary with 120 assisted living and extended care beds. Specialty clinics on-site are audiology, brace and limb, dialysis,  nephrology, ultra-violet therapy, physical therapy, occupational therapy, respiratory therapy,  optometry, ophthalmology, oral surgery,  regional radiology, and regional laboratory. Type II geriatric facility with wheelchair capabilities and assisted disability services (ADS) showers. Managed by UTMB.","Literacy (Adult Basic Education/GED), Reading, Special Education, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Bricklaying/Stone Masonry; Business Computer Information Systems II; Horticulture; Painting and Decorating","Faith-Based Dormitory, Adult Education Program (upon availability),  Peer Education, Reentry Planning, Chaplaincy Services, GO KIDS Initiative",None,"Substance Abuse Education, Life Skills, Mentoring, Support Groups, Religious/Faith-Based Activities and Studies","W. J. ""Jim"" Estelle Unit",Huntsville,TX,77320-3320,(936) 291-4200,Ten miles north of Huntsville on FM 3478 in Walker County,,30.8893777,-95.4868391
Estes,VS,CID,Male,Pre-Release,II,Venus,Johnson,https://www.tdcj.texas.gov/unit_directory/vs.html,Texas,TDCJ,"Sanders ""Sandy"" Estes Unit",,August 1989,191,33,33,,Medical = 12; Mental Health = 0,"1,040","G1, G2",40,None,None,Unit Maintenance,None,Ambulatory medical and dental services. Managed by UTMB.,"Adult Basic Education, GED, Fundamentals, Life Skills; Vocational Programs: Building Trades; Electrical Trades; Food Service; Culinary Arts; Computer Technology; Commercial Housekeeping","Faith-Based Dormitory, Progressive Animal Welfare Society (PAWS)",Services provided to city and county agencies.,"Substance Abuse Education, Support Groups, Pre-Release Programs, Religious/Faith-Based Studies and Activities","Sanders ""Sandy"" Estes Unit",Venus,TX,76084,(972) 366-3334,One mile southeast of Venus on Hwy 1807 in Johnson County,Brodgrick Price,32.4072019,-97.0955867
Ferguson,FE,CID,Male,Prison,I,Midway,Madison,https://www.tdcj.texas.gov/unit_directory/fe.html,Texas,TDCJ,Jim Ferguson Unit,Polly Hannon,June 1962,364,79,79,26,Medical = 11; Mental Health = 2,"2,417","G1-G5,Security Detention, Transient","4,355","Edible and Field Crops, Farm Shop, Bull Management Center, Swine Farrowing/Nursery/Finishing Operations, Security Horses, Security Pack Canines",Geographic Information Systems (GIS) Facility; Mop and Broom Factory,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. Digital Medical Services (DMS), electronic specialty clinics, and CPAP accommodating housing available. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Culinary Arts; Electrical Trades; Mill & Cabinetmaking; Small Engine Repair;  Welding; Diversified Career Preparation - Food Services; Lee College Vocational: Data Processing; Cabinet Making","Faith-Based Dormitory, Adult Education Program (upon availability), Peer Education, Reentry Planning, Chaplaincy Services, GO KIDS Initiative",Services provided to city and county agencies and  the local school district.,"Substance Abuse Education, Support Groups, Mentoring, Religious/Faith-Based Studies and Activities",Jim Ferguson Unit,Midway,TX,75852,(936) 348-3751,Twenty miles northeast of Huntsville on FM 247 in Madison County,,30.9353441,-95.7317429
Formby,FB,CID,Male,State Jail,V,Plainview,Hale,https://www.tdcj.texas.gov/unit_directory/fb.html,Texas,TDCJ,Formby State Jail,,September 1995,278,45,45,14,Medical = 13; Mental Health = 0,"1,100","J1-J5, G2, G4, Transient",601 (Co-located with Wheeler),"Formby and Wheeler work in cooperation: Contract Farming, Unit Garden, and Security Horses.",None,Unit Maintenance,Scent-Specific Canines,"Ambulatory medical, dental, and mental health services. Telemedicine Services available. All services available on a single level, including CPAP accommodating housing.  Managed by Texas Tech.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, English as a Second Language, Cognitive Intervention; Career and Technology Programs: Construction Carpentry; Culinary Arts; Electrical Trades","Faith-Based Dormitory, Adult Education Program (upon availability), My Dad Reads to Me (Storybook),  Reentry Planning, Chaplaincy Services, GO KIDS Initiative",Services provided Habitat for Humanity.,"Religious/Faith-Based Studies and Activities, Parent Training",Formby State Jail,Plainview,TX,79072,(806) 296-2448,Five miles east of Plainview on Hwy 70 in Hale County,,34.1779718,-101.6459208
Fort Stockton,N5,CID,Male,Prison,IV,Fort Stockton,Pecos,https://www.tdcj.texas.gov/unit_directory/n5.html,Texas,TDCJ,Fort Stockton Unit,,July 1992,114,20,20,3,Medical = 6; Mental Health = 0,606,"G1, G2, Transient",25,None,None,Unit Maintenance,In-Service Training Program,"Ambulatory medical, dental, and mental health services. All services on a single level, including CPAP accommodating housing. Managed by Texas Tech.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention","Faith-Based Dormitory, Adult Education Program (upon availability),  Reentry Planning, Chaplaincy Services, GO KIDS Initiative",Services provided to city and county agencies.,Religious/Faith-Based Studies and Activities,Fort Stockton Unit,Fort Stockton,TX,79735,(432) 336-7676,One mile northeast of downtown Fort Stockton in Pecos County,,30.900355,-102.8636069
Garza East,NI,CID,Male,Prison,IV,Beeville,Bee,https://www.tdcj.texas.gov/unit_directory/ni.html,Texas,TDCJ,Garza East Unit,,February 1994,442,65,65,6,Medical = 42,"1,928","G1-G2, Outside Trusty, Transient",304,Unit Garden,None,Unit Maintenance,Substance Abuse Screening and Assessment; Laundry services provided for Garza West,"Ambulatory medical, dental, and mental health services. Telemedicine, Digital Medical Services (DMS), and CPAP accommodating housing available on a single level. Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release Career and Technology Programs: Business Computer Information Systems I; Truck Driving","Faith-Based Dormitory, Adult Education Program (upon availability), Life Decisions Program, Peer Education, Reentry Planning, Chaplaincy Services, GO KIDS Initiative",None,"Substance Abuse Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities, Administrative Segregation Outreach Program",Garza East Unit,Beeville,TX,78102,(361) 358-9880,Four miles east of Hwy 181 South on Hwy 202 in Bee County,,28.3780566,-97.66020759999999
Garza West,NH,CID,Male,Prison,IV,Beeville,Bee,https://www.tdcj.texas.gov/unit_directory/nh.html,Texas,TDCJ,Garza West Unit,,May 1994,401,81,81,9,Medical = 42; Mental Health = 5,"2,278","G1-G3, Transient",304,"Regional Pest Control, Unit Garden, Security Pack Canines",Beeville Distribution Center; Mechanical Shop; Beeville Satellite Motor Pool; Freight Terminal,Region IV (Southwest Region) Maintenance Headquarters; Unit Maintenance,Offender Intake/Receiving; Narcotic/Cell Phone Detection Canines; Substance Abuse Screening and Assessment,"Ambulatory medical, dental, and mental health services. Telemedicine, Digital Medical Services (DMS), and CPAP accommodating housing available on a single level. Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention","Adult Education Program (upon availability), Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative, Peer Education, Reentry Planning",None,"Literacy/Education, Employment/Job Skills, Substance Abuse Education, Life Skills, Parent Training, Support Groups, Victims Awareness, Religious/Faith-Based Studies and Activities, Family Visitation Center",Garza West Unit,Beeville,TX,78102,(361) 358-9890,Four miles east of Highway 181 South on Highway 202 in Bee County,,28.3793329,-97.6672902
Gist,BJ,CID,Male,State Jail,III,Beaumont,Jefferson,https://www.tdcj.texas.gov/unit_directory/bj.html,Texas,TDCJ,Larry Gist State Jail,,November 1994,368,72,72,18,Medical = 19; Mental Health = 2,"2,276","J1-J5; G1, G2, Transient",776 (Co-located with Stiles and LeBlanc),"Gist, LeBlanc, and Stiles work in cooperation: Security Horses, Security Pack Canines, Unit Garden; Gist participates in the Texas Second Chance Food Bank Program.",None,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. Digital Medical Services (DMS) and electronic specialty clinics available. Wheelchair-accommodated beds are available for state jail offenders. All services on a single level, including CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), Title I, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Business Computer Information Systems I, Introduction to Computer-Aided Drafting; Job Find Kiosk; Lamar State College Academic","Faith-Based Dormitory, Adult Education Program (upon availability), Life Decisions Program,  Peer Education, Reentry Planning, Chaplaincy Services, Crime Stoppers, GO KIDS Initiative","Services provided to city agencies, local organizations, the area food bank, Habitat for Humanity, and Texas Parks and Wildlife.","Employment/Job Skills, Substance Abuse Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",Larry Gist State Jail,Beaumont,TX,77705,(409) 727-8400,FM 3514 off Hwy 69 South between Beaumont and Port Arthur in Jefferson County,,29.9953477,-94.04907329999999
Glossbrenner,SO,CID,Male,SAFPF,IV,San Diego,Duvall,https://www.tdcj.texas.gov/unit_directory/so.html,Texas,TDCJ,Ernestine Glossbrenner Unit,,December 1994,123,29,29,0,Medical=6; Mental Health = 0,612,Substance Abuse Offenders,283,"Contract Grazing, Unit Garden",None,Unit Maintenance,None,Ambulatory medical and dental services.  Managed by UTMB.,None,"Adult Education Program (upon availability),  Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative","Services provided to city and county agencies, area school districts, and the area food bank.","Substance Abuse Education, Religious/Faith-Based Studies and Activities",Ernestine Glossbrenner Unit,San Diego,TX,78384,(361) 279-2705,Three and one-half miles south of San Diego on FM 1329 in Duvall County,,27.7095585,-98.2563713
Goodman,GG,CID,Male,Prison/ISF,I,Jasper,Jasper,https://www.tdcj.texas.gov/unit_directory/gg.html,Texas,TDCJ,Glen Ray Goodman Unit,,July 1995,155,30,30,8,Medical = 8; Mental Health = 0,204,"G1, G2, Substance Abuse",494,"Contract Grazing, Hay Production, Security Horses, Unit Garden",None,Unit Maintenance,None,Ambulatory medical and dental services. Digital Medical Services (DMS) and electronic specialty clinics available on a single level.  Managed by UTMB.,"Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Business Computer Information Systems II","Faith-Based Dormitory, Adult Education Program (upon availability),  Chaplaincy Services, GO KIDS Initiative",Services provided to city agencies and Texas Parks and Wildlife.,"Literacy/Education, Substance Abuse Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",Glen Ray Goodman Unit,Jasper,TX,75951,(409) 383-0012,"On Hwy 190, three miles east of Hwy 96 intersection in Jasper County",,30.9146515,-93.94591539999999
Goree,GR,CID,Male,Prison,I,Huntsville,Walker,https://www.tdcj.texas.gov/unit_directory/gr.html,Texas,TDCJ,Thomas Goree Unit,,1907,315,74,74,1,Medical = 13; Mental Health = 0,"1,321","G1-G3, Administrative Segregation, Outside Trusty, Transient",717,Horse Breeding Program,None,Unit Maintenance,Dynamic Risk Assessment for male offenders; Transient facility for female offenders enroute to Hospital Galveston; U.S. Department of Homeland Security Immigration and Customs Enforcement (ICE),"Ambulatory medical, dental, and mental health services. Digital Medical Services (DMS), electronic specialty clinics,  respiratory treatment, and CPAP accommodating housing available.  Managed by UTMB.",Literacy (Adult Basic Education/GED),"Faith-Based Dormitory, Adult Education Program (upon availability),  Peer Education, Reentry Planning, Chaplaincy Services, Crime Stoppers, GO KIDS Initiative","Services provided to city agencies, local organizations, and Texas Parks and Wildlife.","Substance Abuse Education, Religious/Faith-Based Studies and Activities",Thomas Goree Unit,Huntsville,TX,77344,(936) 295-6331,Four miles south of downtown Huntsville on Highway 75 South in Walker County,,30.67399679999999,-95.5158622
Gurney,ND,CID,Male,Prison,II,Palestine,Anderson,https://www.tdcj.texas.gov/unit_directory/nd.html,Texas,TDCJ,Joe F. Gurney Transfer Facility,,December 1993,434,46,46,11,Medical = 20; Dental = 3; Mental Health = 4,"1,130","G1-G3, Transient","20,528 (Co-located with Coffield, Michael, Powledge, and Beto)","Gurney, Beto, Coffield, Michael, and Powledge work in cooperation: Feed mill and Grain Storage, Farm Shop, Cow/Calf Operation, Poultry Laying Operation, Swine Farrowing/Nursery/Finishing Operations, Pork Processing Plant, Security Horses, Security Pack Canines, Edible and Field Crops, and Unit Garden",None,Unit Maintenance,"Inmate Intake/Receiving; Substance abuse screening and assessment; UTMB Department of Education and Professional Development (DEPD) Training; Pre-Service, In-Service, and Specialized Training","Ambulatory medical, dental, and mental health services. Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention","Adult Education Program (upon availability), Chaplaincy Services, GO KIDS Initiative",Services provided to city agencies and area school districts.,"Substance Abuse Education, Support Groups, Religious/Faith-Based Studies and Activities",Joe F. Gurney Transfer Facility,Palestine,TX,75803,(903) 928-3118,Six miles south of Tennessee Colony on FM 3328 in Anderson County,Nicole Sandifer,31.7589837,-95.8249769
Halbert,BB,CID,Female,SAFPF,VI,Burnet,Burnet,https://www.tdcj.texas.gov/unit_directory/bb.html,Texas,TDCJ,Ellen Halbert Unit,,March 1995,135,27,27,0,Medical = 11; Mental Health = 0,612,Substance Abuse,223,Contract Grazing,None,Unit Maintenance,None,Ambulatory medical and dental services. All services on a single level. Managed by UTMB.,None,"Adult Education Program (upon availability),  Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative","Services provided to city and county agencies, local school districts, and Texas Parks and Wildlife.","Employment/Job Skills, Substance Abuse Education, Life Skills, Parent Training, Support Groups, Mentoring, Religious/Faith-Based Studies and Activities, Women's Storybook Project",Ellen Halbert Unit,Burnet,TX,78611,(512) 756-6171,"Off Hwy 281 South, near the airport in Burnet County, 55 miles northwest of Austin",,30.7436998,-98.241121
Hamilton,JH,CID,Male,Pre-Release,I,Bryan,Brazos,https://www.tdcj.texas.gov/unit_directory/jh.html,Texas,TDCJ,J. W. Hamilton Unit,,Originally constructed for TDCJ 1996-1997; transferred to TYC upon completion; TBCJ approved transfer from TYC to TDCJ in March 2003.,256,61,61,12,Medical = 11; Mental Health = 0,"1,166","G1, G2, Substance Abuse",350,"Unit Garden, Texas Second Chance Food Bank Program, Texas Fresh Approach Food Bank Program",None,Unit Maintenance,None,"Ambulatory medical, dental, and outpatient mental health services. All services on a single level. Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Heating, Ventilation, Air Conditioning, and Refrigeration; Piping Trades","Adult Education Program (upon availability), Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative, Peer Education",Services provided to  the area food bank  and the Texas Department of Transportation.,"Literacy/Education, Substance Abuse Education, Employment/Job Skills, Life Skills, Support Groups, Victims Awareness, Religious/Faith-Based Studies and Activities",J. W. Hamilton Unit,Bryan,TX,77807,(979) 779-1633,Two miles west of SH 21 on Sandy Point Road in Brazos County,,30.6904493,-96.4195046
Havins,TH,CID,Male,Pre-Release,V,Brownwood,Brown,https://www.tdcj.texas.gov/unit_directory/th.html,Texas,TDCJ,Thomas R. Havins Unit,,July 1994,181,59,59,0,Medical = 7; Mental Health = 0,596,"Transient, Substance Abuse",300,"Contract Grazing, Unit Garden",None,Unit Maintenance,None,"Ambulatory medical and dental services. All services on a single level, including medical showers. Managed by Texas Tech.",None,"Adult Education Program (upon availability),  Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative","Services provided to city, county and government agencies, area school districts,  and the Texas Department of Transportation.","Substance Abuse Education, Life Skills, Parent Training, Support Groups, Religious/Faith-Based Studies and Activities",Thomas R. Havins Unit,Brownwood,TX,76801,(325) 643-5575,"500 FM 45 East, five miles south of Brownwood in Brown County",,31.6567971,-98.9741133
Henley,LT,CID,Female,State Jail,VI,Dayton,Liberty,https://www.tdcj.texas.gov/unit_directory/lt.html,Texas,TDCJ,Dempsie Henley State Jail,,May 1995,124,21,21,6,Medical = 7; Mental Health = 3,384,"J1 - J2, Transient, Substance Abuse",394 (Co-located with Hightower and Plane),"Henley, Hightower, and Plane work in cooperation: Security Horses, Security Pack Canines, and Unit Garden.",None,Unit Maintenance,None,"Ambulatory medical and dental services. Digital Medical Services (DMS) and electronic specialty clinics available. All services on a single level, including assisted disability services (ADS) showers and CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention, Parenting Seminar; Career and Technology Programs: Business Computer Information Systems I","Adult Education Program (upon availability), Chaplaincy Services,  Community Tours, Faith-Based Dormitory, GO KIDS Initiative","Services provided to city and county agencies, area school districts, and Habitat for Humanity.","Substance Abuse Education, Life Skills, Parent Training, Support Groups, Victims Awareness, Religious/Faith-Based Studies and Activities, Family Visitation Center, Supporting Kids of Incarcerated Parents (SKIP), Women's Storybook Project",Dempsie Henley State Jail,Dayton,TX,77535,(936) 258-2476,Five miles north of Dayton on Highway 321 in Liberty County,,30.105206,-94.92959429999999
Hightower,HI,CID,Male,Prison,III,Dayton,Liberty,https://www.tdcj.texas.gov/unit_directory/hi.html,Texas,TDCJ,L.V. Hightower Unit,,March 1990,335,86,86,9,Medical = 16; Mental Health = 0,"1,384","G1, G2, G4",394 (Co-located with Henley and Plane),"Hightower, Henley, and Plane work in cooperation:  Security Horses, Security Pack Canines, and Unit  Garden.",Garment Factory,Unit Maintenance,Scent-Specific Canines,"Ambulatory medical, dental, and mental health services. Digital Medical Services (DMS), electronic specialty clinics, and chronic care clinics available.  Four wheelchair-accommodated beds for SOTP and SOEP. Type I Geriatric Facility. All services are available on a single level, including assisted disability services (ADS) showers and CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Construction Carpentry; Small Engine Repair","Faith-Based Dormitory, Adult Education Program (upon availability), Chaplaincy Services, Community Tours, GO KIDS Initiative",Services provided to local school districts and county agencies.,"Literacy/Education, Substance Abuse Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities, Family Visitation Center",L.V. Hightower Unit,Dayton,TX,77535,(936) 258-8013,Four miles north of Dayton on FM 686 off Hwy 321 in Liberty County,,30.1025028,-94.93288419999999
Hilltop,HT,CID,Female,Prison,VI,Gatesville,Coryell,https://www.tdcj.texas.gov/unit_directory/ht.html,Texas,TDCJ,Hilltop Unit,,April 1981,268,64,64,11,Medical = 8; Mental Health = 1,553,"G1-G3, Outside Trusty, Youthful Offenders","1,283 (Co-located with Crain, Murray, and Woodman)","Hilltop, Crain, Hughes, O'Daniel, and Murray work in cooperation: Edible and Field Crops, Farm Shop, Regional Pest Control, Security Horses, Security Pack Canines, and Swine Finishing Operation.",Garment Factory,Region VI (Gatesville Region) Regional Maintenance Headquarters; Unit Maintenance,Pre-Service/In-Service Training Facility; Regional Medical Offices and Training; Larry Dowdy Conference Room and Training Center,"Ambulatory medical, dental, and mental health services. All services on a single level, including CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, Title I, CHANGES/Pre-Release, Cognitive Intervention, Parenting Seminar; Career and Technology Programs: Business Image Management and Multimedia; Diversified Career Preparation - Food Services; Central Texas College Academic","Faith-Based Dormitory, Adult Education Program (upon availability), Life Decisions Program, HIV Peer Education, Reentry Planning, Chaplaincy Services, GO KIDS Initiative",None,"Substance Abuse Education, Literacy/Education, Life Skills, Parent Training, Support Groups, Religious/Faith-Based Studies and Activities, Girl Scouts Beyond Bars, Truth Be Told, Women's Storybook Project",Hilltop Unit,Gatesville,TX,76598-2996,(254) 865-8901,Three miles north of Gatesville on Business Hwy 36 in Coryell County,,31.4767101,-97.7350927
Hobby,HB,CID,Female,Prison,VI,Marlin,Falls,https://www.tdcj.texas.gov/unit_directory/hb.html,Texas,TDCJ,William P. Hobby Unit,,November 1989,299,57,57,15,Medical = 10; Mental Health = 3,"1,384",G1-G5,389,"Edible Crops, Peach Orchard, Security Horses, Security Pack Canines",Print Shop,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. Telemedicine and Digital Medical Services (DMS) available. All services on a single level, including CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, Cognitive Intervention, Parenting Seminar; Career and Technology Programs: Automotive Specialization (Brakes); Business Computer Information Systems II; Painting and Decorating; Restaurant Management","Adult Education Program (upon availability), Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative, Peer Education, Reentry Planning, The Heart of Texas Foundation College of Ministry",None,"Literacy/Education, Substance Abuse Education, Life Skills, Arts/Crafts, Support Groups, Religious/Faith-Based Studies and Activities, Women's Storybook Project",William P. Hobby Unit,Marlin,TX,76661,(254) 883-5561,Six miles southwest of Marlin off Business Hwy 6 on FM 712 in Falls County,,31.2537933,-96.91028539999999
Hodge,HD,CID,Male,DDP,II,Rusk,Cherokee,https://www.tdcj.texas.gov/unit_directory/hd.html,Texas,TDCJ,Jerry H. Hodge Unit,,March 1995,333,40,40,11,Medical = 3; Mental Health = 22,989,"G1, G2, Developmentally Disabled",58 (Co-located with Skyview); (Additional 92 leased acres),None,None,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours a day, seven days a week. CPAP accommodating housing available. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education (Adaptive Skills), CHANGES/Pre-Release, English as a Second Language, Cognitive Intervention; Career and Technology Programs: Custodial Technician; Landscape Design, Construction and Maintenance; Restaurant Management","Adult Education Program (upon availability), Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative, Reentry Planning",Services provided to city and county agencies and   local organizations.,"Substance Abuse Education, Support Groups, Mentoring, Religious/Faith-Based Studies and Activities, Family Visitation Center",Jerry H. Hodge Unit,Rusk,TX,75785-3666,(903) 683-5781,West of Hwy 69 North on FM 2972 West in Cherokee County,,31.7960064,-95.15022139999999
Holliday,NF,CID,Male,Prison,I,Huntsville,Walker,https://www.tdcj.texas.gov/unit_directory/nf.html,Texas,TDCJ,Reverend C.A. Holliday Unit,,January 1994,435,81,81,10,Medical = 22; Mental Health = 3,"2,120","G1, G2, Transient","1,396 (Co-located with Wynne)","Holliday  and Wynne work in cooperation: Edible and Field Crops, Egg Laying Operation, Farm Shop, Regional Pest Control, Security Horses, Security Pack Canines,  Swine Finishing Operation, and Veterinary Clinic. Holliday assists Goree  in the Horse Breeding Program.",None,Unit Maintenance,Offender Intake/Receiving; Substance Abuse Screening and Assessment,"Ambulatory medical, dental, and mental health services. Digital Medical Services (DMS) and electronic specialty clinics available.  Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release","Adult Education Program (upon availability), Chaplaincy Services, Community Tours, Faith-Based Dormitory, GO KIDS Initiative, Peer Education, Reentry Planning",Services provided to city and county agencies.,"Substance Abuse Education, Life Skills, Parent Training, Support Groups, Religious/Faith-Based Studies and Activities",Reverend C.A. Holliday Unit,Huntsville,TX,77320-8443,(936) 295-8200,One-half mile north of Hwy 30 on the west feeder road of IH-45 in Walker County,,30.7235263,-95.55077709999999
Hospital Galveston,HG,CID,Co-Gender,Medical,III,Galveston,Galveston,https://www.tdcj.texas.gov/unit_directory/hg.html,Texas,TDCJ,Hospital Galveston,,May 1983,496,10,10,0,Medical = 162; Mental Health = 0,,All levels requiring medical treatment,N/A,None,None,None,Special Needs Kitchen,"In-patient medical. Skilled medical facility with medical/surgical, ICU, and holding beds. Hospital care, acute care, and 45 specialty and subspecialty clinics available. Telemedicine clinics conducted with networked units. Managed by UTMB.",None,"Love Me Tender Program, Chaplaincy Services",None,Religious/Faith-Based Studies and Activities,Hospital Galveston,Galveston,TX,77555,(409) 772-2875,Off IH-45 in Galveston at 809 Harborside Drive in Galveston County,,29.3107328,-94.7770173
Hughes,AH,CID,Male,Prison,II,Gatesville,Coryell,https://www.tdcj.texas.gov/unit_directory/ah.html,Texas,TDCJ,Alfred D. Hughes Unit,Jasmine McKain,January 1990,515,87,87,11,Medical = 44; Mental Health = 16,"2,984","G1-G5, Security Detention, Safekeeping, Mental Health",390,"Hughes, Crain, Hilltop, O'Daniel, and Murray work in cooperation: Edible and Field Crops, Farm Shop, Regional Pest Control, Security Horses, Security Pack Canines, and Swine Finishing Operation.",Garment Factory,Unit Maintenance,Scent-Specific Canines,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours a day, seven days a week. Infirmary includes 15 assisted living beds and two mental health observation rooms. Brace and limb clinic and optometry services available. Telemedicine Services available. All services on a single level, including assisted disability services (ADS) showers and CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, Cognitive Intervention Career and Technology Programs: Custodial Technician; Major Appliance Service Technology; Pipe Fitting Central Texas College Academic","Faith-Based Dormitory, Adult Education Program (upon availability), Peer Education, Reentry Planning, Chaplaincy Services, GO KIDS Initiative",Services provided to city agencies and area school districts.,"Substance Abuse Education, Support Groups, Religious/Faith-Based Studies and Activities",Alfred D. Hughes Unit,Gatesville,TX,76597,(254) 865-6663,"3201 FM 929, 1.5 miles north of Loop 36 in Coryell County",,31.4874179,-97.70430879999999
