name,jurisdiction,agency,facility_url,street_address,city,state,zip_code,county,office,latitude,longitude,warden,capacity,gender,phone,fax,chaplain_phone,warden_email,general_email,contact_name,recruiter_email,contact_phone,hours,programs
Blackwater River Correctional Facility,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/185,5914 Jeff Ates Road,Milton,FL,32583-0000,Santa Rosa,Region 1,30.6455116,-86.9517695,Terry Dudley,,Male,(850) 983-4100,(850) 983-4100,(850) 983-4100 ext. 614,widudley@geogroup.com,,,,,8:00 a.m. - 2:00 p.m. CST,"Academic: Pre-GED/GED; Academic: ""ABE"" Adult Basic Education; Vocational: Barbering; Vocational: Desktop publishing; Vocational: Electrical - Residential; Vocational: Environmental Services; Vocational: Global Logistics; Vocational: Technical Support Specialist; Chaplaincy: Chapel Library Programs; Chaplaincy: Special Events; Chaplaincy: Religious Education; Chaplaincy: Worship Services"
Martin Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/430,1150 S.W. Allapattah Road,Indiantown,FL,34956-4397,Martin,Region 4,27.1996473,-80.4815905,Jeffrey Robinson,,Male,(772) 597-3705,(772) 597-3742,(772) 597-8132,jeffrey.robinson@fdc.myflorida.com,MartinCI.WardenOffice@fdc.myflorida.com,Kory Rupp,Kory.Rupp@fdc.myflorida.com,(772) 597-8025,9:00 a.m. - 3:00 p.m. EST,Chaplaincy: 7 Steps Discipleship Course; Chaplaincy: Alcoholics Anonymous; Chaplaincy: Art Program; Chaplaincy: Berean Trust Bible Study; Chaplaincy: Blessings from Heaven; Chaplaincy: Catholic Mass; Chaplaincy: C. F. Core Values Study; Chaplaincy: Chapel Library; Chaplaincy: Christ Ambassadors; Chaplaincy: Christ Fellowship; Chaplaincy: Christology (Spanish); Chaplaincy: Creole Bible Study; Chaplaincy: End Times; Chaplaincy: Fishers of Men; Chaplaincy: FPM CHURCH - Florida Prison Ministry; Chaplaincy: Global Priorities; Chaplaincy: Guitar Beginners; Chaplaincy: Grace Emmanuel Tabernacle Worship; Chaplaincy: Harvest of Life; Chaplaincy: Hebrew Class; Chaplaincy: Hebrew Israelite Study; Chaplaincy: Hobe Sound; Chaplaincy: Jesus Christ Street Ministry; Chaplaincy: Jehovah’s Witness Watchtower Study; Chaplaincy: Jumu’ah Prayer; Chaplaincy: Kairos; Chaplaincy: Legion Meetings; Chaplaincy: Men of Faithfulness and Integrity; Chaplaincy: Messianic Service; Chaplaincy: Music Theory; Chaplaincy: Pennell Prayer Group; Chaplaincy: Praise Team; Chaplaincy: Prison Fellowship Academy; Chaplaincy: PSL Worship Center; Chaplaincy: Recovery Church; Chaplaincy: Removing Obstacles; Chaplaincy: Spanish Service; Chaplaincy: Taaleem; Chaplaincy: Victim Impact; Chaplaincy: Who is God
Charlotte Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/510,33123 Oil Well Road Punta,Gorda,FL,33955-9701,Charlotte,Region 4,26.8043837,-81.90349669999999,"William ""Scott"" Payne",,Male,(941) 833-8100,(941) 575-5747,(941) 833-8085,william.payne@fdc.myflorida.com,CharlotteCI.WardenOffice@fdc.myflorida.com,Tammy Baker,Tammy.Baker@fdc.myflorida.com,(941) 833-8037,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: Continuing Education; Academic: General Educational Development; Academic: Mandatory Literacy; Academic: Special Education Services; Academic: Title 1 Services; Vocational: CPR; Vocational: Entrepreneurship; Vocational: OSHA; Re-Entry: Compass 180 Transition Program; Re-Entry: Damascus Re-entry Program; Re-Entry: Library Services; Re-Entry: Thinking for a Change; Re-Entry: Wellness Education; Chaplaincy: Alcoholics Anonymous; Chaplaincy: Authentic Man; Chaplaincy: Catholic Bible Study; Chaplaincy: Catholic Confessions; Chaplaincy: Catholic Mass; Chaplaincy: Catholic RCIA; Chaplaincy: Christian Class; Chaplaincy: Communication and Anger; Chaplaincy: Financial Literacy; Chaplaincy: From the Inside Out; Chaplaincy: Hebrew Israelite Study; Chaplaincy: Jehovah's Witness; Chaplaincy: Kairos Reunion; Chaplaincy: Kairos Weekly Prayer & Share; Chaplaincy: McGregor Baptist; Chaplaincy: Messianic Jewish Shabbat; Chaplaincy: Messianic Torah Study; Chaplaincy: Miami International Seminary; Chaplaincy: Muslim Jummah Prayer; Chaplaincy: Muslim Taaleem Service; Chaplaincy: Orthodox Jewish Shabbat; Chaplaincy: Orthodox Jewish Studies; Chaplaincy: Outreach Ministries; Chaplaincy: Parenting from the Inside; Chaplaincy: Rock of Ages; Chaplaincy: Spanish Protestant Service; Chaplaincy: Veterans Program; Chaplaincy: Veterans Dorm
Homestead Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/419,19000 S.W. 377th Street Florida,City,FL,33034-6409,Miami-Dade,Region 4,25.41532,-80.497996,Alonzo Horner,668.0,Female,(305) 242-1770,(305) 242-2424,(786) 349-2112,alonzo.horner@fdc.myflorida.com,HomesteadCI.WardenOffice@fdc.myflorida.com,Quandra Strachan,Quandra.Strachan@fdc.myflorida.com,(786) 349-2107,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Mandatory Literacy Program; Academic: Volunteer Literacy Program; Vocational: Cosmetology; Vocational: Entrepreneurship; Chaplaincy: Chapel Library Program; Chaplaincy: Kairos Weekends; Chaplaincy: Religious Education; Chaplaincy: Rescate Ministry; Chaplaincy: Worship Services
Everglades Re-Entry Center,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/441,1601 SW 187th Avenue,Miami,FL,33194,Miami-Dade,Region 4,25.6485299,-80.4972051,Herman Rogers,432.0,Male,(305) 480-4400,(305) 222-4141,(305) 480-4424,herman.rogers@fdc.myflorida.com,EvergladesCI.WardenOffice@fdc.myflorida.com,Djeannane Jolteus,Djeannane.Jolteus@fdc.myflorida.com,(305) 480-4204,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education (ABE); Academic: General Educational Development (GED); Academic: Interactive Journaling; Academic: MDC Second Chance Pell Grant Program; Vocational: ATLO; Vocational: Craft Construction; Vocational: CPR; Vocational: Electrical Program; Vocational: Entrepreneurship; Vocational: Forklift; Vocational: HVAC; Vocational: Infrastructure/Underground Utilities; Vocational: Landscape and Turf Management; Vocational: Small Appliances; Vocational: Solar Panels; Chaplaincy: Alcoholics Anonymous; Chaplaincy: Authentic Manhood Classes; Chaplaincy: Baptism; Chaplaincy: Bible Studies English; Chaplaincy: Bible Studies Spanish; Chaplaincy: Catholic Service; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library; Chaplaincy: Hebrew Israelite Services; Chaplaincy: Inside Out Dads; Chaplaincy: Islamic Jummah Prayer and Taaleem Study; Chaplaincy: Life Abundant; Chaplaincy: Malachi Dads; Chaplaincy: Messianic Jewish Shabbat; Chaplaincy: Narcotics Anonymous; Chaplaincy: Orthodox Jewish Shabbat and Studies; Chaplaincy: Peace Education Class; Chaplaincy: Rabbi Visits/Study; Chaplaincy: Religious Education; Chaplaincy: Worship Services English; Chaplaincy: Worship Services Spanish
Everglades Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/401,1599 S.W. 187th Avenue,Miami,FL,33194,Miami-Dade,Region 4,25.6485353,-80.496808,Herman Rogers,,Male,(305) 228-2000,(305) 228-2039,(305) 480-4210 / Re-Entry Center (305) 480-4400,herman.rogers@fdc.myflorida.com,EvergladesCI.WardenOffice@fdc.myflorida.com,Djeannane Jolteus,Djeannane.Jolteus@fdc.myflorida.com,(305) 480-4204,9:00 a.m. - 3:00 p.m. EST,"Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Miami-Dade College 2nd Chance Program; Academic: Pre-GED; Academic: Volunteer Literacy Program; Chaplaincy: Alcoholics Anonymous; Chaplaincy: Authentic Manhood Classes; Chaplaincy: Baptism; Chaplaincy: Bible Studies (English/Spanish); Chaplaincy: Bridge Builders/Way Home; Chaplaincy: Buddhist Service; Chaplaincy: Catholic Service and Study; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library Program; Chaplaincy: Chess Club; Chaplaincy: Choir Program; Chaplaincy: Faith & Character Dorm; Chaplaincy: FX3 - Discipleship; Chaplaincy: God Behind Bars; Chaplaincy: Hebrew Israelite Service; Chaplaincy: House of Healing; Chaplaincy: Inside Out Dads; Chaplaincy: Islamic Jummah Prayer and Taaleem study; Chaplaincy: Jehovah Witness Service and Study; Chaplaincy: Kairos Mentors; Chaplaincy: Kairos Reunion; Chaplaincy: Kairos Weekend (English/Spanish); Chaplaincy: LDS (Mormon) Service; Chaplaincy: Life Abundant; Chaplaincy: Malachi Dads; Chaplaincy: Marriage Resolution; Chaplaincy: Messianic Jewish Shabbat; Chaplaincy: MINTS Seminary; Chaplaincy: My Second Language: Hebrew, Arabic, Creole, Spanish; Chaplaincy: Narcotics Anonymous; Chaplaincy: Orthodox Jewish Shabbat and Studies; Chaplaincy: Parenting; Chaplaincy: Peace Education Class; Chaplaincy: Prison Fellowship/Life Plan; Chaplaincy: Purpose Driven Life; Chaplaincy: Rabbi Visits/Study; Chaplaincy: Regenerated Life; Chaplaincy: Religious Education; Chaplaincy: Scripture Study; Chaplaincy: Seventh Day Adventist Service; Chaplaincy: Shalom Bible Institute; Chaplaincy: TBN Satellite access; Chaplaincy: The Foundation Institute; Chaplaincy: The Truth Project; Chaplaincy: The Value of God; Chaplaincy: Worship Services (English/Spanish/Creole)"
"South Florida Reception Center, South Unit",Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/403,13910 NW 41st Street,Doral,FL,33178-3014,Miami-Dade,Region 4,25.8116448,-80.3860263,Jimmy Love,889.0,Male,(305) 592-9710,(305) 592-5628,(305) 592-9567,jimmy.love@fdc.myflorida.com,SFRC.WardenOffice@fdc.myflorida.com,Gary Becker,Gary.Becker@fdc.myflorida.com,(305) 717-0234,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Education Development (GED); Academic: Literacy; Chaplaincy: Chapel Library Program; Chaplaincy: Father's Purpose; Chaplaincy: Religious Education; Chaplaincy: Spanish Services; Chaplaincy: Worship Services
Sago Palm Re-Entry Center,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/464,500 Bay Bottom Road,Pahokee,FL,33476,Palm Beach,Region 4,26.8398766,-80.6361602,Robert Bryner,384.0,Male,(561) 924-4320,,,robert.bryner@fdc.myflorida.com,OkeechobeeCI.WardenOffice@fdc.myflorida.com?subject=Sago Palm Re-entry Center,,,,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Education Development; Academic: Mandatory Literacy; Academic: Peer Tutor Training; Academic: Pre-GED Class; Vocational: HVAC; Vocational: Heavy Equipment; Vocational: Plumbing; Chaplaincy: Keryx Weekends; Chaplaincy: Multi-Faith Worship Services
Moore Haven Correctional Facility,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/511,1282 FL-78 Moore,Haven,FL,33471,Glades,Region 4,26.8390805,-81.1202971,Vacant,985.0,Male,(863) 946-2420,(863) 946-2393,(863) 946-2420,,,,,,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Volunteer Literacy Program; Vocational: Barbering; Vocational: Hospitality; Vocational: Technical Support Services; Vocational: Tourism/Environmental Services; Chaplaincy: Chapel Library Program; Chaplaincy: Special Events; Chaplaincy: Religious Education; Chaplaincy: Worship Services
Holmes Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/107,3142 Thomas Drive,Bonifay,FL,32425-0190,Holmes,Region 1,30.75821899999999,-85.6704693,Lorie Lykins,,Male,(850) 547-8600,(850) 547-0522,(850) 547-8598,lorie.lykins@fdc.myflorida.com,HolmesCI.WardenOffice@fdc.myflorida.com,LaDonia Cade,Ladonia.Cade@fdc.myflorida.com,(850) 547-8831,8:00 a.m. - 2:00 p.m. CST,Academic: Adult Basic Education (Main Unit & Work Camp); Academic: General Educational Development (GED) (Main Unit & Work Camp); Academic: Special Education Services; Academic: Title I Services; Chaplaincy: 12 Steps with Jesus Christ; Chaplaincy: Baptisms; Chaplaincy: Catholic Studies/Communion; Chaplaincy: Chapel Library Program; Chaplaincy: Chapel Media Center - DVD Educational; Chaplaincy: Chapel Re-Entry Classes; Chaplaincy: Conquering Additions; Chaplaincy: Evangelism Explosion - Prison E.E.; Chaplaincy: Faith and Character Based Program - Phase II; Chaplaincy: Hebrew Israelite Study; Chaplaincy: Independent Religious Study Program; Chaplaincy: Interfaith Mediation; Chaplaincy: Islamic Jumah Prayer; Chaplaincy: Jehovah Witness Bible Study; Chaplaincy: Jewish Sabbath Prayer Services; Chaplaincy: Mentoring; Chaplaincy: Music/Band; Chaplaincy: Primary Worship Opportunities
Okeechobee Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/404,3420 N.E. 168th Street,Okeechobee,FL,34972-4824,Okeechobee,Region 4,27.3961925,-80.7844785,Anthony Santiago,,Male,(863) 462-5400,(863) 462-5402,(863) 824-1037,anthony.santiago@fdc.myflorida.com,OkeechobeeCI.WardenOffice@fdc.myflorida.com,Christen Wares,Christen.Wares@fdc.myflorida.com,(863) 824-1019,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Education Development (GED); Academic: Introduction to Civics Education Program; Academic: Mandatory Literacy; Academic: PRE-GED Class; Vocational: HVAC; Chaplaincy: Christ Fellowship; Chaplaincy: Chapel Library Program; Chaplaincy: Faith and Character Based Programming; Chaplaincy: KAIROS Weekends; Chaplaincy: Multi-faith Worship Services; Chaplaincy: Prison Fellowship Quarterly; Chaplaincy: Religious Education
Calhoun Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/105,19562 SE Institution Dr.,Blountstown,FL,32424-5156,Calhoun,Region 1,30.4435293,-85.0451953,Patricia Rodgers,,Male,(850) 237-6500,(850) 237-6508,(850) 237-6580,patricia.rodgers@fdc.myflorida.com,CalhounCI.WardenOffice@fdc.myflorida.com,Tracy Carman,Tracy.Carman@fdc.myflorida.com,(850) 237-3336,8:00 a.m. - 2:00 p.m. CST,"Academic: Adult Basic Education (ABE); Academic: Comprehensive Adult Student Assessment Systems (CASAS); Academic: General Educational Development (GED); Academic: Mavis Beacon Typing; Academic: Online Career Skills, Industry Credentials and Academic Support (ATLO); Academic: Reading Literacy; Vocational: Construction Technology; Vocational: Graphic Arts; Vocational: Landscape / Turf Management; Vocational: Printing; Vocational: Web Design; Chaplaincy: Chapel Library; Chaplaincy: Praise Team; Chaplaincy: Recovery Groups; Chaplaincy: Religious Education Classes; Chaplaincy: Religious Holiday Observances; Chaplaincy: Worship services"
Dade Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/463,19000 S.W. 377th Street Florida,City,FL,33034-6409,Miami-Dade,Region 4,25.41532,-80.497996,Jimmy Love,,Male,(305) 242-1900,(305) 242-1881,(305) 242-1900,jimmy.love@fdc.myflorida.com,DadeCI.WardenOffice@fdc.myflorida.com,Cristina Coronado,Cristina.Coronado@fdc.myflorida.com,(786) 349-2327,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: Compass 100 Program; Academic: GED Class; Academic: Pre-GED Class; Academic: Re-entry Program; Academic: Volunteer Literacy Program; Vocational: Barbering Program; Chaplaincy: Alcoholics Anonymous; Chaplaincy: Be Strong; Chaplaincy: Chapel Library; Chaplaincy: Chapel Band; Chaplaincy: Faith based Self Improvement Courses; Chaplaincy: Family Matters/Domestic Violence; Chaplaincy: Kairos Weekends; Chaplaincy: M.I.N.T.S – Theological Seminary; Chaplaincy: Multi-faith Worship Services; Chaplaincy: Parenting; Chaplaincy: Prison Fellowship Programs; Chaplaincy: Religious Education
South Florida Reception Center,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/402,14000 NW 41st Street,Doral,FL,33178-3003,Miami-Dade,Region 4,25.8056113,-80.4263931,Francisco Acosta,,Male,(305) 592-9567,(305) 592-5628,(305) 592-9567,francisco.acosta@fdc.myflorida.com,SFRC.WardenOffice@fdc.myflorida.com,Gary Becker,Gary.Becker@fdc.myflorida.com,(305) 717-0234,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Education Development (GED); Academic: Special Education Screening (Child Find); Chaplaincy: Chapel Library Program; Chaplaincy: Conflict Resolution Seminars; Chaplaincy: Faith and Character Program; Chaplaincy: Great Dads; Chaplaincy: Leadership; Chaplaincy: Marriage Program; Chaplaincy: Prison Fellowship; Chaplaincy: Religious Education; Chaplaincy: Religious Seminars; Chaplaincy: Worship Services
Florida State Prison,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/205,23916 NW 83rd Ave,Raiford,FL,32083,Bradford,Region 2,30.0579915,-82.18258929999999,David Allen,,Male,(904) 368-2500,(904) 368-2732,(904) 368-8894,david.allen@fdc.myflorida.com,FSP.WardenOffice@fdc.myflorida.com,Shawna Evans,shawna.evans@fdc.myflorida.com,(904) 368-8834,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education (Close Management & Open Population); Academic: Continuing Education (Close Management); Academic: General Educational Development (GED) (Close Management & Open Population); Academic: Inmate Teaching Assistant Program (ITA); Academic: Special Education Services (Close Management); Academic: Voluntary Literacy (Close Management and Open Population); Chaplaincy: Bible Studies; Chaplaincy: Chapel Library Program; Chaplaincy: Close Management Bible Study Course; Chaplaincy: Close Management Cell Front Visitation; Chaplaincy: Close Management Volunteer-Led Bible Study (Dayroom); Chaplaincy: Religious Education; Chaplaincy: Religious Holy Day Observance and Rituals; Chaplaincy: Religious Volunteer Activities; Chaplaincy: Special Religious Events; Chaplaincy: Spiritual Advisor Visits; Chaplaincy: Spiritual Crisis and Adjustment Counseling; Chaplaincy: Worship Services
Florida State Prison West Unit,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/206,23916 NW 83rd Ave,Raiford,FL,32026,Bradford,Region 2,30.0579915,-82.18258929999999,,802.0,Male,,,,,,,,,,
Mayo Correctional Institution Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/212,8784 US Highway 27 West,Mayo,FL,32066-3458,Lafayette,Region 2,30.1307638,-83.3046954,Monroe Barnes,,Male,(386) 294-4500,(386) 294-4534,(386) 294-7015,monroe.barnes@fdc.myflorida.com,MayoCI.WardenOffice@fdc.myflorida.com,Ashley Taylor,Ashley.Taylor@fdc.myflorida.com,(386) 294-7012,9:00 a.m. - 3:00 p.m. EST,Academic: General Educational Development (GED); Vocational: Energy Technician; Vocational: Plumbing; Chaplaincy: Alcoholics Anonymous; Chaplaincy: Audio/Video Library; Chaplaincy: Bible Studies (English/Spanish); Chaplaincy: Catholic Services; Chaplaincy: Chapel Library Program; Chaplaincy: Faith and Character Based Program; Chaplaincy: Hebrew Israelite; Chaplaincy: Islamic Study/Taaleem; Chaplaincy: Jehovah's Witness; Chaplaincy: Jewish Sabbath; Chaplaincy: Jumah/Islamic Service; Chaplaincy: Miami International Theological Seminary (MINTS); Chaplaincy: Music/Band; Chaplaincy: Orthodox Jewish Services; Chaplaincy: Prison Fellowship Monthly; Chaplaincy: Ramadan; Chaplaincy: Religious Education; Chaplaincy: TBN Satellite Programming; Chaplaincy: Worship Services
Suwannee Correctional Institution Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/231,5964 U.S. Highway 90 Live,Oak,FL,32060,Suwannee,Region 2,30.2401174,-82.8691292,Jared Cox,,Male,(386) 963-6201,,,jared.cox@fdc.myflorida.com,SuwanneeCI.WardenOffice@fdc.myflorida.com,Rainy Bailey,Rainy.Bailey@fdc.myflorida.com,(386) 963-6603,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Special Education Services; Academic: Title 1 Services; Academic: Volunteer Literacy Program; Vocational: Masonry; Vocational: Plumbing Technology/Fire Sprinkler Systems Technology; Chaplaincy: Anger Resolution Class; Chaplaincy: Chapel Library Program; Chaplaincy: Communication and Anger Management Class; Chaplaincy: Faith/Character Dorm; Chaplaincy: New Life Behavior Classes; Chaplaincy: Parenting/Relationship Class; Chaplaincy: Personal Growth Programs; Chaplaincy: Religious Education; Chaplaincy: Religious Volunteer Program; Chaplaincy: Thinking for a Change; Chaplaincy: Victims Impact; Chaplaincy: Worship Services
Graceville Correctional Facility,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/159,5168 Ezell Rd.,Graceville,FL,32440,Jackson,Region 1,30.9442149,-85.48929919999999,Michael Mashburn,,Male,(850) 263-5500,(850) 263-1560,(850) 263-5500 x 116,michael.mashburn@mtctrains.com,,,,,8:00 a.m. - 2:00 p.m. CST,Academic: Adult Basic Education; Academic: Ashland University; Academic: General Educational Development (GED); Academic: Mandatory Literacy Program; Vocational: Auburn K-9 Program; Vocational: Barber; Vocational: Commercial Driver’s License; Vocational: Landscape Management; Vocational: Technical Support Services; Chaplaincy: Baptism Services; Chaplaincy: Bible Studies; Chaplaincy: Centering Prayer; Chaplaincy: Chapel Library Program; Chaplaincy: Chapel Music Program; Chaplaincy: Discipleship; Chaplaincy: Family Integrity Training; Chaplaincy: Global Leadership Summit; Chaplaincy: Holy Day Observation Program; Chaplaincy: Hope Events - Prison Fellowship; Chaplaincy: Meditation; Chaplaincy: Mentoring; Chaplaincy: Native American Prayer Circle; Chaplaincy: New & Old Testament Bible Studies; Chaplaincy: Personal Growth Programs; Chaplaincy: Praise Team; Chaplaincy: Prison Fellowship Academy; Chaplaincy: Religious Education; Chaplaincy: Religious Volunteers; Chaplaincy: Service Opportunity for all Faith Groups; Chaplaincy: Spanish Service; Chaplaincy: Spiritual Advisor Visit Program; Chaplaincy: TBN Second Chance Site Program; Chaplaincy: Variety of Special Religious Events; Chaplaincy: Worship Services
Lake City Correctional Facility,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/219,7906 East Highway 90 Lake,City,FL,32055-6290,Columbia,Region 2,30.1922794,-82.5084358,Lakichia Wilson,894.0,Male,(386) 755-3379,(386) 752-7202,"(386) 755-3379, ext. 7232",lakichia.wilson@corecivic.com,,,,,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Volunteer Literacy Program; Vocational: Barbering; Vocational: Commercial Foods and Culinary Arts; Vocational: Environmental Services; Vocational: HVAC; Vocational: Tile Setting
Columbia Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/201,216 S.E. Corrections Way Lake,City,FL,32025-2013,Columbia,Region 2,30.1931724,-82.5027649,Shawn Swain,,Male,(386) 754-7600,(386) 754-1632,(386) 292-7001,shawn.swain@fdc.myflorida.com,ColumbiaCI.WardenOffice@fdc.myflorida.com,Tammy Eadie,Tammy.Eadie@fdc.myflorida.com,(386) 292-7090,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Literacy Program; Academic: Special Education Services; Academic: Title 1 Services; Vocational: Applied Information Technology; Vocational: Masonry Brick and Block; Chaplaincy: Alcoholics Anonymous Group; Chaplaincy: Audio/Video Library; Chaplaincy: Catholic Services; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library Program; Chaplaincy: Faith and Character Base Program; Chaplaincy: Fatherhood; Chaplaincy: Hebrew Israelite; Chaplaincy: Hebrew Language Study; Chaplaincy: Independent Directed Study; Chaplaincy: Inside/Outside Dads; Chaplaincy: Islamic Study/Taaleem; Chaplaincy: Jehovah Witness; Chaplaincy: Jewish Sabbath; Chaplaincy: Jummah/Islamic Service; Chaplaincy: Jump Start; Chaplaincy: Kairos; Chaplaincy: Orthodox Jewish Services; Chaplaincy: Prison Fellowship Monthly; Chaplaincy: Ramadan; Chaplaincy: Religious Education; Chaplaincy: Religious Holiday Observances; Chaplaincy: Spanish Services; Chaplaincy: Worship Band; Chaplaincy: Worship Services
Columbia Correctional Institution Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/251,216 S.E. Corrections Way Lake,City,FL,32025-2013,Columbia,Region 2,30.1931724,-82.5027649,Shawn Swain,,Male,(386) 754-7600,(386) 754-1632,(386) 292-7150,shawn.swain@fdc.myflorida.com,ColumbiaCI.WardenOffice@fdc.myflorida.com,Tammy Eadie,Tammy.Eadie@fdc.myflorida.com,(386) 292-7090,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Literacy Program; Academic: Second Chance Pell Program; Academic: Special Education Services; Academic: Title 1 Services; Chaplaincy: Alcoholics Anonymous Group; Chaplaincy: Audio/Video Library; Chaplaincy: Catholic Services; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library Program; Chaplaincy: Faith and Character Base Program; Chaplaincy: Hebrew Israelite; Chaplaincy: Hebrew Language Study; Chaplaincy: Independent Directed Study; Chaplaincy: Inside/Outside Dads; Chaplaincy: Islamic Study/Taaleem; Chaplaincy: Jehovah Witness; Chaplaincy: Jewish Sabbath; Chaplaincy: Jummah/Islamic Service; Chaplaincy: Kairos; Chaplaincy: KOLBE Prison Ministry; Chaplaincy: Orthodox Jewish Services; Chaplaincy: Prison Fellowship Monthly; Chaplaincy: Ramadan; Chaplaincy: Religious Education; Chaplaincy: Religious Holiday Observances; Chaplaincy: Spanish Services; Chaplaincy: Worship Band; Chaplaincy: Worship Services
